carID,price
59459,5991
49082,11998
14425,3990
13190,25450
60655,11390
30694,6995
8216,16995
41290,28880
27881,7995
73511,26980
16202,14398
6433,26999
59648,9200
61496,11700
13681,21998
60643,9492
39795,4495
1060,17990
65742,19990
23091,6995
10027,15990
18230,10990
29367,12399
64825,7680
28984,10498
4515,16995
64986,7200
63338,7680
52942,22980
71505,12999
6854,11991
68009,14298
58483,12798
34073,9995
6159,25160
65301,10200
41987,29299
12261,9991
2126,31000
51671,20495
67984,57991
25658,14990
51904,27249
2324,31990
65081,8250
10728,34368
1499,21714
15496,8794
20796,20000
61552,10800
56064,8999
28392,15411
58132,9930
73286,18890
72985,8500
41141,41949
8088,26350
15446,23980
31436,9490
42521,14307
755,33946
4505,17336
32877,14998
1981,19490
27901,7450
1000,47995
69887,10495
25108,16958
35718,22899
50080,13000
73372,22475
26604,10979
1319,23490
52328,5290
7811,11499
45636,19895
69945,9490
55902,10389
66720,16250
73294,19401
29817,20498
17095,10689
9190,11250
55835,8999
66498,12495
66349,12392
70158,41499
3626,16647
23268,13149
49747,8280
35187,14994
29084,9998
49529,19300
15317,13120
590,9798
47163,29295
70892,9080
27442,6840
54291,5991
11002,34995
61800,12999
14633,29995
29626,9250
67358,16998
58593,12491
20301,9999
44643,21899
37415,19999
73483,18790
74927,24998
62646,4995
73231,16880
51267,6995
68366,16790
22493,14999
16416,10800
68977,29995
11574,14449
38407,23299
6578,16998
70164,11995
31545,9290
2995,12298
38017,18149
71552,7990
8816,30888
48816,15995
54329,22346
36880,22849
51290,15498
32795,15795
51796,23990
30874,10300
47147,14995
10615,25444
13128,6495
3138,29970
45625,15400
23111,8940
65338,9250
48887,7550
75525,7600
61693,11000
13744,15980
69194,19479
54290,18995
2292,12498
18850,15479
6613,19990
8595,11491
18103,7871
68318,15995
30784,10650
12848,25730
17857,19989
6941,16600
72943,11950
20568,26430
42081,19500
16176,12995
66971,3295
26204,16800
44595,24749
690,13499
74695,11799
72337,21444
603,12500
2419,37000
39894,19890
14544,38000
30581,11500
67891,12290
64339,11498
795,24990
62326,15890
32357,10498
27774,17890
50264,7500
11042,11200
48734,14119
43675,21999
73328,36650
22172,11700
45842,31609
39223,15165
22022,10450
259,46212
10420,52004
51602,11995
62111,10480
51599,10390
74999,17500
6105,8975
58191,7000
53994,12898
14409,17450
52463,8998
16177,10999
288,26995
66028,20225
27581,8390
62758,8200
18397,9000
29284,23499
9311,15495
3379,32000
3410,12750
63900,14795
51437,18995
70930,6299
49058,8850
50466,29000
5201,27990
64022,5976
47156,18290
11603,16498
51732,9695
68914,20990
5887,14999
63407,10850
70449,14990
44769,26495
51264,10980
65510,9998
26068,12700
56891,10830
1778,17495
70827,6298
19995,7499
20209,10999
840,20888
5689,17950
40824,17299
8309,9899
26675,10998
19787,10950
47807,18995
43334,7990
70392,31500
16047,9750
16729,13985
29347,20000
4851,29995
38793,14699
28619,10995
50026,4940
73340,18295
71656,21995
47252,6790
68349,13490
46809,16775
43952,17480
64949,8291
38388,20449
53218,8994
72604,23990
54790,17250
13682,19500
65020,5821
58087,13498
40258,14599
67257,29950
9211,16444
27603,11495
67063,8950
3183,12495
74506,16690
64760,15995
71806,9990
73759,28750
26979,20480
6054,22490
19904,17320
3465,12950
67445,19990
37424,25080
6430,16792
68668,14750
46939,18299
33118,13995
37741,25780
43204,26399
45802,15965
19466,17495
60467,17499
13972,20490
16238,12599
10237,27995
70468,8295
69157,25000
71859,27995
38411,38289
67795,21995
66974,19498
50670,14920
8501,15000
36742,53750
32517,31390
933,15299
53560,16499
65325,14500
16448,3495
17793,9499
65697,4750
52629,14695
26632,12000
17781,20499
20755,15450
65975,34900
46852,10795
64313,10695
12068,17950
31573,22891
22569,14800
11744,18990
5073,35200
46417,19849
39251,31999
18426,11798
57164,10995
11213,28480
36228,24599
22517,12000
62941,8000
20419,10991
49023,13999
464,15498
34872,21899
6321,19999
62471,7675
18405,9520
49994,12490
14743,9699
4511,14995
69399,11802
23946,7600
1949,18490
20542,9900
39673,22767
44302,18700
64368,11495
32528,13800
34683,40365
40179,11300
45098,28466
13477,13500
51270,18802
68435,11500
34271,11780
51092,11498
25284,13700
38344,29490
45495,25999
24244,14000
12201,15882
29320,20000
67663,23450
74402,7991
27516,35950
8695,12760
47990,12495
46572,42980
45846,24400
60114,6299
46713,3695
37628,19182
5286,17491
55141,9995
43342,47999
49249,13940
3535,15495
70567,28999
10474,12200
64358,9695
17639,9695
72783,19700
11943,15500
58646,14299
74032,16790
66175,30230
24686,8682
29057,5995
59100,14493
35428,13499
67469,19400
34513,9495
25087,11591
18631,10995
13927,26480
51989,18000
40691,27998
58255,10000
8875,8650
34599,18695
33772,9995
68772,17900
60733,18390
44290,13970
34715,3795
48484,12450
36003,15065
22436,14500
66618,4399
13666,58940
40895,14450
47470,18495
35381,25780
13428,13999
59992,14950
42258,49480
46926,18045
1580,25990
37746,19250
11679,16295
24787,18498
5730,20500
14216,8980
15349,22000
69469,19445
18995,8000
56760,10998
38650,29676
66014,13699
2910,10510
5898,14640
66039,9195
61484,10799
37622,20899
38803,29949
29091,20000
34315,15780
25341,9495
42500,19971
64853,13990
73477,16990
47213,19798
308,34491
63070,9998
42999,31950
71640,13770
53184,7298
55099,11200
8165,51995
24473,16890
31877,5998
50014,15495
51818,25650
7598,35998
3776,8995
2295,24250
71909,9000
71494,19300
55799,8975
46320,33980
21869,17800
18041,19489
60720,15995
48359,17995
38821,19549
66064,7290
62570,10500
24375,6695
33012,14989
48148,7995
15160,22489
66436,13498
55333,10495
39301,16499
70660,57295
4412,29990
38881,17880
66740,17482
24116,14999
10168,25000
22344,9749
6353,30444
39839,22889
4552,29000
56577,7510
57957,11281
10868,36990
62286,14433
3476,20945
24842,10999
36052,31980
58714,9500
23999,23999
44151,30480
47487,13990
53046,14274
25810,13000
12031,16450
70895,15390
14320,13949
63963,9191
36988,15000
30567,8225
65672,13595
69706,19798
31372,15000
21609,9463
65195,13895
35731,19799
6025,20750
18686,14798
61549,9699
38228,14732
57334,8998
55309,14850
35401,22495
24481,9495
3037,61700
49163,12495
44587,14500
10318,13940
45825,35999
22207,17520
75244,19000
62529,11955
47808,32300
75558,15998
58907,13000
50680,16495
54550,11995
52957,12495
19974,13995
58975,10400
36105,14489
55232,21490
13017,15000
21369,11995
54376,10000
46107,40349
1882,28350
46717,17200
49656,10950
16228,8380
22410,8990
70552,9995
18311,19999
39937,18999
37312,22500
64684,12995
23206,7000
29886,16998
24267,17999
24075,11995
18414,15295
58115,4995
67459,8250
17126,14498
23707,7930
33100,12970
64873,12900
27508,11999
61489,19999
9655,12800
72704,21691
13845,17992
49853,15499
26865,11298
16956,13800
4666,45595
28797,12000
30135,9700
24565,9625
11682,32990
44658,31399
45864,18995
63219,9995
73881,7900
2753,53990
70120,24989
31855,8000
63281,10699
31440,21990
45413,20091
41855,18435
40426,29399
45973,27994
15976,7480
18048,20570
70910,10495
50615,7299
15614,13999
54484,8698
4478,38695
46218,17980
20159,9980
75508,21490
70231,13495
63096,12398
58811,7998
38974,23800
64762,7910
39384,45490
1500,19712
35859,41999
50526,11495
299,45995
21787,15500
16384,15998
31497,7995
8601,18698
19355,12799
74447,9680
1966,24950
25604,17498
67030,8895
71543,14795
69896,24791
41238,13862
65018,15990
43891,11298
2783,16190
50588,23499
73399,26990
50461,6500
10669,22000
22140,6190
55928,14990
32108,12990
48277,10625
75800,22980
32459,7495
66451,22290
25705,5640
38032,27780
37708,29549
47958,13998
32054,7259
57886,13200
26889,21570
45059,13599
59616,15990
327,17498
13763,26950
59800,11998
12273,11850
74692,13495
520,14490
8659,10500
43581,28795
8107,14750
57857,9452
48276,26500
66348,11999
45437,20691
23639,8500
53024,15000
70566,9750
70785,13800
1095,69000
52696,14500
48385,21575
51244,9995
28266,8400
20740,11498
74016,21490
1119,21755
55449,7450
11430,33995
28427,18500
63341,9906
68418,34450
50239,8295
49781,13995
33157,8649
18561,10799
5418,14490
26289,16598
51892,9798
51982,12995
15055,8520
23366,11491
3427,25200
55247,21928
58187,11795
15554,7391
42705,14990
40300,24498
63030,9541
57128,6950
18004,6399
25259,6730
25888,18995
43906,34950
71148,23947
3052,14500
35175,18790
36078,14999
26260,10797
65227,7199
36115,26890
870,17250
45702,44500
24536,13150
1854,21990
42865,13291
65515,8200
37807,29000
33139,16995
53191,24490
14919,10800
4006,32500
59397,9850
31861,4795
66951,21990
12705,10999
68564,10990
14111,34498
26958,15798
47622,10490
38954,26780
24491,10498
37044,23206
68617,16991
70114,11490
45173,1495
20575,12299
1427,27750
40751,17990
67654,12495
15401,6940
10166,16500
67066,12000
27807,11999
69325,9990
34556,6960
14906,15900
6052,9235
3170,19779
40858,22792
7331,13995
12587,15000
14720,25988
69177,10499
36190,24789
34324,12371
16245,7500
4461,23946
29477,7998
26199,19000
16576,10289
62060,6091
60037,10995
75333,10490
38162,26499
4549,15498
69785,4500
12723,18199
5417,14500
